ID,Odometer (mi),Date,Fill Amount,Fill Units,Price per Gallon,Partial Fill,Latitude,Longitude,Trip Distance,MPG,Money Spent
1,6948,2/5/2010,0.001,Gal,2.98,Yes,,,,,
2,7017,2/6/2010,9.622,Gal,2.85,,,,,7.171066306,
3,7140,2/10/2010,7.989,Gal,2.899,,,,123,15.39616973,$23.16 
4,7326,2/24/2010,11.869,Gal,2.789,,,,186,15.67107591,$33.10 
5,7516,2/27/2010,9.052,Gal,2.939,,,,190,20.9898365,$26.60 
6,7691,3/6/2010,10.407,Gal,2.919,,,,175,16.81560488,$30.38 
7,7810,3/9/2010,6.955,Gal,2.949,,,,119,17.10999281,$20.51 
8,7973,3/16/2010,11.148,Gal,2.939,,,,163,14.62145676,$32.76 
9,8165,3/21/2010,11.232,Gal,2.939,,,,192,17.09401709,$33.01 
10,8343,3/27/2010,10.531,Gal,2.999,,,,178,16.9024784,$31.58 
11,8516,4/3/2010,10.409,Gal,2.979,,,,173,16.62023249,$31.01 
12,8696,4/9/2010,10.833,Gal,2.959,,,,180,16.61589587,$32.05 
13,8874,4/14/2010,10.529,Gal,2.999,,,,178,16.90568905,$31.58 
14,9010,4/20/2010,9.428,Gal,2.979,,,,136,14.42511667,$28.09 
15,9201,4/27/2010,12.123,Gal,2.999,,,,191,15.75517611,$36.36 
16,9316,5/2/2010,4.71,Gal,3.159,Yes,,,115,,$14.88 
17,9317,5/2/2010,2.711,Gal,3.099,,,,1,15.63131653,$8.40 
18,9442,5/8/2010,8.508,Gal,3.069,,,,125,14.69205454,$26.11 
19,9622,5/14/2010,11.702,Gal,3.069,,,,180,15.38198599,$35.91 
20,9820,5/22/2010,12.528,Gal,3.049,,,,198,15.8045977,$38.20 
21,9978,5/25/2010,8.147,Gal,2.999,,,,158,19.39364183,$24.43 
22,10162,5/31/2010,10.836,Gal,3.099,,,,184,16.98043559,$33.58 
23,10292,6/4/2010,8.259,Gal,3.099,,,,130,15.74040441,$25.59 
24,10418,6/9/2010,8.402,Gal,2.939,,,,126,14.99642942,$24.69 
25,10568,6/16/2010,11.007,Gal,3.059,,,,150,13.62769147,$33.67 
26,10690,6/20/2010,8.987,Gal,2.939,,,,122,13.57516413,$26.41 
27,10835,6/25/2010,9.513,Gal,2.999,,,,145,15.24230001,$28.53 
28,11041,6/27/2010,4.738,Gal,2.999,Yes,,,206,,$14.21 
29,11042,6/27/2010,5.386,Gal,3.119,,,,1,20.44646385,$16.80 
30,11244,7/2/2010,11.037,Gal,2.999,,,,202,18.30207484,$33.10 
31,11377,7/23/2010,7.122,Gal,3.029,,,,133,18.67452963,$21.57 
32,11608,7/23/2010,9.581,Gal,2.829,,,,231,24.11021814,$27.10 
33,11818,7/25/2010,9.999,Gal,2.959,,,,210,21.00210021,$29.59 
34,12046,7/28/2010,9.732,Gal,2.829,,,,228,23.42786683,$27.53 
35,12206,7/28/2010,6.986,Gal,3.399,,,,160,22.90294875,$23.75 
36,12444,7/30/2010,10.467,Gal,2.939,,,,238,22.73812936,$30.76 
37,12621,8/5/2010,11.721,Gal,2.999,,,,177,15.10110059,$35.15 
38,12845,8/7/2010,10.372,Gal,2.999,,,,224,21.59660625,$31.11 
39,13096,8/10/2010,11.921,Gal,2.919,,,,251,21.0552806,$34.80 
40,13267,8/17/2010,12.249,Gal,2.919,,,,171,13.96032329,$35.75 
41,13460,8/27/2010,12.189,Gal,2.939,,,,193,15.83394864,$35.82 
42,13649,9/9/2010,12.039,Gal,2.819,,,,189,15.69897832,$33.94 
43,13828,9/13/2010,10.502,Gal,2.819,,,,179,17.0443725,$29.61 
44,14081,9/16/2010,10.394,Gal,3.339,,,,253,24.34096594,$34.71 
45,14314,9/19/2010,10.662,Gal,2.819,,,,233,21.85331082,$30.06 
46,14472,9/26/2010,9.602,Gal,2.839,,,,158,16.45490523,$27.26 
47,14684,10/3/2010,13.852,Gal,2.839,,,,212,15.30464915,$39.33 
48,14882,10/9/2010,10.902,Gal,2.999,,,,198,18.16180517,$32.70 
49,15099,10/15/2010,12.748,Gal,2.959,,,,217,17.022278,$37.72 
50,15206,10/17/2010,8.711,Gal,3.029,,,,107,12.28331994,$26.39 
51,15399,10/24/2010,12.499,Gal,3.019,,,,193,15.4412353,$37.73 
52,15559,10/31/2010,10.429,Gal,3.019,,,,160,15.34183527,$31.49 
53,15703,11/7/2010,9.128,Gal,3.019,,,,144,15.77563541,$27.56 
54,15866,11/14/2010,12.13,Gal,3.079,,,,163,13.43775763,$37.35 
55,16025,11/20/2010,10.284,Gal,3.119,,,,159,15.46091015,$32.08 
56,16200,11/27/2010,11.012,Gal,3.119,,,,175,15.89175445,$34.35 
57,16421,12/4/2010,11.875,Gal,3.299,,,,221,18.61052632,$39.18 
58,16594,12/14/2010,12.578,Gal,3.235,,,,173,13.75417395,$40.69 
59,16770,12/21/2010,11.307,Gal,3.359,,,,176,15.56557884,$37.98 
60,16911,12/28/2010,10.421,Gal,3.279,,,,141,13.53037137,$34.17 
61,17108,1/11/2011,12.492,Gal,3.299,,,,197,15.77009286,$41.21 
62,17234,1/17/2011,8.703,Gal,3.279,,,,126,14.47776629,$28.54 
63,17348,1/22/2011,8.28,Gal,3.339,,,,114,13.76811594,$27.65 
64,17524,1/30/2011,11.882,Gal,3.339,,,,176,14.81232116,$39.67 
65,17686,2/7/2011,11.39,Gal,3.479,,,,162,14.22300263,$39.63 
66,17853,2/14/2011,12.357,Gal,3.399,,,,167,13.51460711,$42.00 
67,18035,2/21/2011,10.813,Gal,3.439,,,,182,16.8315916,$37.19 
68,18206,2/27/2011,10.621,Gal,3.579,,,,171,16.10017889,$38.01 
69,18402,3/6/2011,12.15,Gal,3.749,,,,196,16.13168724,$45.55 
70,18580,3/11/2011,10.376,Gal,3.719,,,,178,17.15497301,$38.59 
71,18764,3/21/2011,11.181,Gal,3.719,,,,184,16.45648869,$41.58 
72,18939,3/27/2011,11.984,Gal,3.719,,,,175,14.60280374,$44.57 
73,19119,4/3/2011,12.169,Gal,3.759,,,,180,14.79168379,$45.74 
74,19302,4/11/2011,11.744,Gal,3.859,,,,183,15.58242507,$45.32 
75,19522,4/17/2011,10.312,Gal,3.879,Yes,,,220,,$40.00 
76,19654,4/22/2011,10.697,Gal,3.999,,,,132,16.75472417,$42.78 
77,19835,4/29/2011,11.985,Gal,4.159,,,,181,15.1022111,$49.85 
78,20016,5/5/2011,11.628,Gal,4.079,,,,181,15.56587547,$47.43 
79,20199,5/11/2011,11.219,Gal,4.199,,,,183,16.31161423,$47.11 
80,20421,6/16/2011,12.835,Gal,3.999,,,,222,17.29645501,$51.33 
81,20619,6/18/2011,7.62,Gal,3.959,,,,198,25.98425197,$30.17 
82,20853,6/25/2011,11.746,Gal,4.059,,,,234,19.92167546,$47.68 
83,20979,7/2/2011,6.283,Gal,3.799,,,,126,20.05411428,$23.87 
84,21195,7/15/2011,12.611,Gal,3.959,,,,216,17.12790421,$49.93 
85,21413,7/16/2011,8.776,Gal,3.899,,,,218,24.84047402,$34.22 
86,21642,7/17/2011,9.512,Gal,4.079,,,,229,24.07485282,$38.80 
87,21866,8/2/2011,12.645,Gal,4.059,,,,224,17.71451166,$51.33 
88,22065,8/10/2011,12.158,Gal,4.059,,,,199,16.36782366,$49.35 
89,22195,8/27/2011,7.913,Gal,4.039,,,,130,16.4286617,$31.96 
90,22382,9/5/2011,11.588,Gal,3.956,,42.426411,-71.248978,187,16.1373835,$45.84 
91,22617,9/14/2011,11.85,Gal,3.999,,42.388981,-71.142654,235,19.83122363,$47.39 
92,22862,9/30/2011,12.699,Gal,3.899,,42.443108,-71.229393,245,19.29285771,$49.51 
93,23020,10/7/2011,12.512,Gal,3.779,,42.411987,-71.238663,158,12.62787724,$47.28 
94,23190,10/15/2011,12.036,Gal,3.959,,42.361626,-71.144142,170,14.12429379,$47.65 
95,23435,10/18/2011,12.309,Gal,3.949,,42.366295,-71.120041,245,19.90413519,$48.61 
96,23654,10/21/2011,10.699,Gal,3.999,,44.038456,-71.674927,219,20.46920273,$42.79 
97,23898,10/27/2011,10.379,Gal,3.799,,42.386898,-71.136581,244,23.50900858,$39.43 
98,24046,10/30/2011,10.78,Gal,3.839,,42.439064,-71.254349,148,13.72912801,$41.38 
99,24211,11/5/2011,12.169,Gal,3.839,,42.439659,-71.250557,165,13.55904347,$46.72 
100,24412,11/13/2011,11.022,Gal,3.839,,42.440292,-71.249138,201,18.23625476,$42.31 
101,24621,11/26/2011,11.841,Gal,3.649,,42.291721,-71.133865,209,17.65053627,$43.21 
102,24794,12/3/2011,11.579,Gal,3.519,,42.36586,-71.106033,173,14.94084118,$40.75 
103,24982,12/10/2011,10.865,Gal,3.559,,42.204361,-71.185333,188,17.30326737,$38.67 
104,25100,12/18/2011,8.325,Gal,3.699,,42.384007,-71.137344,118,14.17417417,$30.79 
105,25287,12/25/2011,11.937,Gal,3.619,,42.424225,-71.214066,187,15.66557762,$43.20 
106,25446,12/31/2011,11.093,Gal,3.599,,42.413433,-71.240913,159,14.33336338,$39.92 
107,25626,1/7/2012,11.928,Gal,3.679,,42.412338,-71.234795,180,15.09054326,$43.88 
108,25892,1/9/2012,12.623,Gal,3.609,,43.021889,-71.460541,266,21.07264517,$45.56 
109,26100,1/13/2012,12.503,Gal,3.749,,42.358009,-71.115944,208,16.63600736,$46.87 
110,26297,1/18/2012,11.634,Gal,3.639,,42.376114,-71.155655,197,16.93312704,$42.34 
111,26447,1/29/2012,10.685,Gal,3.849,,42.374546,-71.116173,150,14.03837155,$41.13 
112,26573,2/4/2012,9.165,Gal,3.719,,42.373318,-71.208511,126,13.74795417,$34.08 
113,26758,2/14/2012,12.316,Gal,3.999,,42.369156,-71.160126,185,15.02111075,$49.25 
114,26913,2/20/2012,10.701,Gal,3.879,,42.409313,-71.234383,155,14.4846276,$41.51 
115,27042,2/25/2012,9.162,Gal,3.839,,42.439835,-71.250511,129,14.07989522,$35.17 
116,27214,3/7/2012,11.396,Gal,3.979,,42.374367,-71.20639,172,15.09301509,$45.34 
117,27400,3/12/2012,11.562,Gal,3.979,,42.374516,-71.209465,186,16.08718215,$46.01 
118,27599,3/19/2012,13.109,Gal,4.079,,42.385818,-71.136391,199,15.18041041,$53.47 
119,27807,3/24/2012,12.961,Gal,3.979,,42.682598,-71.053596,208,16.04814443,$51.57 
120,28021,3/29/2012,13.569,Gal,3.999,,,,214,15.77124328,$54.26 
121,28222,4/5/2012,12.658,Gal,4.219,,42.385784,-71.136688,201,15.87928583,$53.40 
122,28389,4/7/2012,8.683,Gal,4.039,,42.42281,-71.24675,167,19.23298399,$35.07 
123,28615,4/10/2012,11.371,Gal,4.219,,42.38625,-71.137634,226,19.87512092,$47.97 
124,28796,4/15/2012,11.325,Gal,4.259,,42.387115,-71.137085,181,15.98233996,$48.23 
125,28927,4/20/2012,9.285,Gal,4.299,,42.361488,-71.115715,131,14.1087776,$39.92 
126,29223,4/22/2012,2.393,Gal,4.359,Yes,41.308449,-72.93512,296,,$10.43 
127,29228,4/22/2012,10.721,Gal,4.599,,41.320423,-72.907646,5,22.95256977,$49.31 
128,29447,4/26/2012,12.241,Gal,4.079,,42.439751,-71.256241,219,17.8906952,$49.93 
129,29626,5/2/2012,11.137,Gal,4.079,,42.439838,-71.255791,179,16.07255096,$45.43 
130,29801,5/10/2012,11.631,Gal,4.299,,42.372929,-71.16021,175,15.04599776,$50.00 
131,29981,5/18/2012,13.065,Gal,3.959,,42.37627,-71.243217,180,13.77726751,$51.72 
132,30152,5/23/2012,11.744,Gal,4.059,,42.362976,-71.143539,171,14.5606267,$47.67 
133,30371,5/27/2012,11.405,Gal,4.019,,41.651775,-70.280113,219,19.20210434,$45.84 
134,30535,5/29/2012,8.769,Gal,3.959,,42.43972,-71.250664,164,18.70224655,$34.72 
